Stock Name,MarketDate,MarketPrice
Car and General (K) Ltd Ord 5.00,02-Jan-19,23.4500
Nairobi Securities Exchange,02-Jan-19,14.5500
British American Tobacco Kenya Ltd Ord 10.00,02-Jan-19,725.0000
Safaricom Ltd Ord 0.05,02-Jan-19,22.2500
Car and General (K) Ltd Ord 5.00,03-Jan-19,23.4500
British American Tobacco Kenya Ltd Ord 10.00,03-Jan-19,725.0000
Safaricom Ltd Ord 0.05,03-Jan-19,22.1500
Nairobi Securities Exchange,03-Jan-19,14.9500
Safaricom Ltd Ord 0.05,04-Jan-19,21.3000
British American Tobacco Kenya Ltd Ord 10.00,04-Jan-19,725.0000
Nairobi Securities Exchange,04-Jan-19,14.6500
Car and General (K) Ltd Ord 5.00,04-Jan-19,21.8000
Car and General (K) Ltd Ord 5.00,07-Jan-19,23.9000
Safaricom Ltd Ord 0.05,07-Jan-19,21.4500
British American Tobacco Kenya Ltd Ord 10.00,07-Jan-19,725.0000
Nairobi Securities Exchange,07-Jan-19,14.0000
Car and General (K) Ltd Ord 5.00,08-Jan-19,23.9000
British American Tobacco Kenya Ltd Ord 10.00,08-Jan-19,725.0000
Nairobi Securities Exchange,08-Jan-19,14.5000
Safaricom Ltd Ord 0.05,08-Jan-19,22.0000
Safaricom Ltd Ord 0.05,09-Jan-19,22.3000
Nairobi Securities Exchange,09-Jan-19,14.3500
British American Tobacco Kenya Ltd Ord 10.00,09-Jan-19,725.0000
Car and General (K) Ltd Ord 5.00,09-Jan-19,23.9000
Safaricom Ltd Ord 0.05,10-Jan-19,23.0000
Car and General (K) Ltd Ord 5.00,10-Jan-19,23.9000
Nairobi Securities Exchange,10-Jan-19,14.0000
British American Tobacco Kenya Ltd Ord 10.00,10-Jan-19,680.0000
Safaricom Ltd Ord 0.05,11-Jan-19,23.4000
Nairobi Securities Exchange,11-Jan-19,14.0000
Car and General (K) Ltd Ord 5.00,11-Jan-19,21.5500
British American Tobacco Kenya Ltd Ord 10.00,11-Jan-19,680.0000
Safaricom Ltd Ord 0.05,14-Jan-19,23.5000
Nairobi Securities Exchange,14-Jan-19,14.0000
Car and General (K) Ltd Ord 5.00,14-Jan-19,23.7000
British American Tobacco Kenya Ltd Ord 10.00,14-Jan-19,680.0000
Nairobi Securities Exchange,15-Jan-19,14.1000
British American Tobacco Kenya Ltd Ord 10.00,15-Jan-19,680.0000
Safaricom Ltd Ord 0.05,15-Jan-19,23.5000
Car and General (K) Ltd Ord 5.00,15-Jan-19,23.7000
Nairobi Securities Exchange,16-Jan-19,14.6000
Safaricom Ltd Ord 0.05,16-Jan-19,23.8000
Car and General (K) Ltd Ord 5.00,16-Jan-19,24.0000
British American Tobacco Kenya Ltd Ord 10.00,16-Jan-19,675.0000
Nairobi Securities Exchange,17-Jan-19,14.0000
British American Tobacco Kenya Ltd Ord 10.00,17-Jan-19,675.0000
Safaricom Ltd Ord 0.05,17-Jan-19,23.7500
Car and General (K) Ltd Ord 5.00,17-Jan-19,24.0000
Nairobi Securities Exchange,18-Jan-19,13.9000
Safaricom Ltd Ord 0.05,18-Jan-19,23.7000
Car and General (K) Ltd Ord 5.00,18-Jan-19,24.0000
British American Tobacco Kenya Ltd Ord 10.00,18-Jan-19,675.0000
British American Tobacco Kenya Ltd Ord 10.00,21-Jan-19,675.0000
Car and General (K) Ltd Ord 5.00,21-Jan-19,25.4500
Safaricom Ltd Ord 0.05,21-Jan-19,23.5000
Nairobi Securities Exchange,21-Jan-19,13.4000
Car and General (K) Ltd Ord 5.00,22-Jan-19,23.3500
Nairobi Securities Exchange,22-Jan-19,13.8000
British American Tobacco Kenya Ltd Ord 10.00,22-Jan-19,670.0000
Safaricom Ltd Ord 0.05,22-Jan-19,23.3000
British American Tobacco Kenya Ltd Ord 10.00,23-Jan-19,670.0000
Nairobi Securities Exchange,23-Jan-19,13.9500
Car and General (K) Ltd Ord 5.00,23-Jan-19,24.6000
Safaricom Ltd Ord 0.05,23-Jan-19,23.2500
British American Tobacco Kenya Ltd Ord 10.00,24-Jan-19,648.0000
Car and General (K) Ltd Ord 5.00,24-Jan-19,24.6000
Nairobi Securities Exchange,24-Jan-19,14.0000
Safaricom Ltd Ord 0.05,24-Jan-19,23.2000
British American Tobacco Kenya Ltd Ord 10.00,25-Jan-19,648.0000
Safaricom Ltd Ord 0.05,25-Jan-19,23.4500
Car and General (K) Ltd Ord 5.00,25-Jan-19,22.1500
Nairobi Securities Exchange,25-Jan-19,14.0000
Nairobi Securities Exchange,28-Jan-19,14.0000
British American Tobacco Kenya Ltd Ord 10.00,28-Jan-19,648.0000
Safaricom Ltd Ord 0.05,28-Jan-19,23.4500
Car and General (K) Ltd Ord 5.00,28-Jan-19,23.0000
Car and General (K) Ltd Ord 5.00,29-Jan-19,23.2000
Nairobi Securities Exchange,29-Jan-19,14.0000
Safaricom Ltd Ord 0.05,29-Jan-19,23.4500
British American Tobacco Kenya Ltd Ord 10.00,29-Jan-19,648.0000
British American Tobacco Kenya Ltd Ord 10.00,30-Jan-19,647.0000
Safaricom Ltd Ord 0.05,30-Jan-19,23.7000
Nairobi Securities Exchange,30-Jan-19,13.9500
Car and General (K) Ltd Ord 5.00,30-Jan-19,25.5000
Car and General (K) Ltd Ord 5.00,31-Jan-19,25.5000
Safaricom Ltd Ord 0.05,31-Jan-19,23.8500
British American Tobacco Kenya Ltd Ord 10.00,31-Jan-19,640.0000
Nairobi Securities Exchange,31-Jan-19,13.9500
Safaricom Ltd Ord 0.05,01-Feb-19,25.5000
Nairobi Securities Exchange,01-Feb-19,14.0000
British American Tobacco Kenya Ltd Ord 10.00,01-Feb-19,640.0000
Car and General (K) Ltd Ord 5.00,01-Feb-19,25.5000
Car and General (K) Ltd Ord 5.00,04-Feb-19,23.0000
British American Tobacco Kenya Ltd Ord 10.00,04-Feb-19,600.0000
Nairobi Securities Exchange,04-Feb-19,14.1000
Safaricom Ltd Ord 0.05,04-Feb-19,26.0000
Safaricom Ltd Ord 0.05,05-Feb-19,26.5000
Car and General (K) Ltd Ord 5.00,05-Feb-19,23.0000
British American Tobacco Kenya Ltd Ord 10.00,05-Feb-19,600.0000
Nairobi Securities Exchange,05-Feb-19,14.0000
Car and General (K) Ltd Ord 5.00,06-Feb-19,23.0000
Safaricom Ltd Ord 0.05,06-Feb-19,26.9000
Nairobi Securities Exchange,06-Feb-19,14.1000
British American Tobacco Kenya Ltd Ord 10.00,06-Feb-19,643.0000
British American Tobacco Kenya Ltd Ord 10.00,07-Feb-19,588.0000
Safaricom Ltd Ord 0.05,07-Feb-19,27.0500
Nairobi Securities Exchange,07-Feb-19,14.9500
Car and General (K) Ltd Ord 5.00,07-Feb-19,25.0000
Nairobi Securities Exchange,08-Feb-19,14.9500
British American Tobacco Kenya Ltd Ord 10.00,08-Feb-19,588.0000
Car and General (K) Ltd Ord 5.00,08-Feb-19,25.0000
Safaricom Ltd Ord 0.05,08-Feb-19,26.8500
British American Tobacco Kenya Ltd Ord 10.00,11-Feb-19,588.0000
Safaricom Ltd Ord 0.05,11-Feb-19,26.8000
Car and General (K) Ltd Ord 5.00,11-Feb-19,25.0000
Nairobi Securities Exchange,11-Feb-19,15.2500
British American Tobacco Kenya Ltd Ord 10.00,12-Feb-19,583.0000
Nairobi Securities Exchange,12-Feb-19,15.4500
Safaricom Ltd Ord 0.05,12-Feb-19,26.9000
Car and General (K) Ltd Ord 5.00,12-Feb-19,24.1000
Nairobi Securities Exchange,13-Feb-19,15.4500
Car and General (K) Ltd Ord 5.00,13-Feb-19,25.1000
Safaricom Ltd Ord 0.05,13-Feb-19,26.9000
British American Tobacco Kenya Ltd Ord 10.00,13-Feb-19,638.0000
British American Tobacco Kenya Ltd Ord 10.00,14-Feb-19,639.0000
Safaricom Ltd Ord 0.05,14-Feb-19,26.4500
Nairobi Securities Exchange,14-Feb-19,15.2500
Car and General (K) Ltd Ord 5.00,14-Feb-19,25.0000
Car and General (K) Ltd Ord 5.00,15-Feb-19,25.5000
British American Tobacco Kenya Ltd Ord 10.00,15-Feb-19,640.0000
Nairobi Securities Exchange,15-Feb-19,15.0500
Safaricom Ltd Ord 0.05,15-Feb-19,26.1000
Nairobi Securities Exchange,18-Feb-19,15.0000
Car and General (K) Ltd Ord 5.00,18-Feb-19,26.4500
Safaricom Ltd Ord 0.05,18-Feb-19,26.0500
British American Tobacco Kenya Ltd Ord 10.00,18-Feb-19,640.0000
Nairobi Securities Exchange,19-Feb-19,15.0000
British American Tobacco Kenya Ltd Ord 10.00,19-Feb-19,635.0000
Safaricom Ltd Ord 0.05,19-Feb-19,26.1500
Car and General (K) Ltd Ord 5.00,19-Feb-19,24.1000
British American Tobacco Kenya Ltd Ord 10.00,20-Feb-19,613.0000
Safaricom Ltd Ord 0.05,20-Feb-19,26.1500
Car and General (K) Ltd Ord 5.00,20-Feb-19,24.0000
Nairobi Securities Exchange,20-Feb-19,15.0000
Safaricom Ltd Ord 0.05,21-Feb-19,26.0000
Nairobi Securities Exchange,21-Feb-19,14.9500
Car and General (K) Ltd Ord 5.00,21-Feb-19,24.0000
British American Tobacco Kenya Ltd Ord 10.00,21-Feb-19,614.0000
Safaricom Ltd Ord 0.05,22-Feb-19,26.0500
Nairobi Securities Exchange,22-Feb-19,14.6000
Car and General (K) Ltd Ord 5.00,22-Feb-19,25.0000
British American Tobacco Kenya Ltd Ord 10.00,22-Feb-19,610.0000
British American Tobacco Kenya Ltd Ord 10.00,25-Feb-19,610.0000
Nairobi Securities Exchange,25-Feb-19,14.5000
Car and General (K) Ltd Ord 5.00,25-Feb-19,25.0000
Safaricom Ltd Ord 0.05,25-Feb-19,26.5000
Safaricom Ltd Ord 0.05,26-Feb-19,26.6000
Car and General (K) Ltd Ord 5.00,26-Feb-19,25.0000
British American Tobacco Kenya Ltd Ord 10.00,26-Feb-19,616.0000
Nairobi Securities Exchange,26-Feb-19,14.4000
Car and General (K) Ltd Ord 5.00,27-Feb-19,24.0000
Safaricom Ltd Ord 0.05,27-Feb-19,26.5500
Nairobi Securities Exchange,27-Feb-19,14.3000
British American Tobacco Kenya Ltd Ord 10.00,27-Feb-19,608.0000
Safaricom Ltd Ord 0.05,28-Feb-19,26.0000
Car and General (K) Ltd Ord 5.00,28-Feb-19,24.0000
Nairobi Securities Exchange,28-Feb-19,14.3000
British American Tobacco Kenya Ltd Ord 10.00,28-Feb-19,600.0000
British American Tobacco Kenya Ltd Ord 10.00,01-Mar-19,599.0000
Car and General (K) Ltd Ord 5.00,01-Mar-19,25.0000
Safaricom Ltd Ord 0.05,01-Mar-19,26.1000
Nairobi Securities Exchange,01-Mar-19,14.8000
Car and General (K) Ltd Ord 5.00,04-Mar-19,24.3000
Nairobi Securities Exchange,04-Mar-19,14.6000
British American Tobacco Kenya Ltd Ord 10.00,04-Mar-19,600.0000
Safaricom Ltd Ord 0.05,04-Mar-19,26.4500
Car and General (K) Ltd Ord 5.00,05-Mar-19,23.0000
Nairobi Securities Exchange,05-Mar-19,14.2500
British American Tobacco Kenya Ltd Ord 10.00,05-Mar-19,600.0000
Safaricom Ltd Ord 0.05,05-Mar-19,26.5000
Car and General (K) Ltd Ord 5.00,06-Mar-19,23.0000
Safaricom Ltd Ord 0.05,06-Mar-19,26.6000
British American Tobacco Kenya Ltd Ord 10.00,06-Mar-19,604.0000
Nairobi Securities Exchange,06-Mar-19,14.2000
British American Tobacco Kenya Ltd Ord 10.00,07-Mar-19,604.0000
Car and General (K) Ltd Ord 5.00,07-Mar-19,25.0000
Safaricom Ltd Ord 0.05,07-Mar-19,26.8000
Nairobi Securities Exchange,07-Mar-19,14.1500
Car and General (K) Ltd Ord 5.00,08-Mar-19,25.0000
British American Tobacco Kenya Ltd Ord 10.00,08-Mar-19,580.0000
Safaricom Ltd Ord 0.05,08-Mar-19,27.0000
Nairobi Securities Exchange,08-Mar-19,14.3500
Car and General (K) Ltd Ord 5.00,11-Mar-19,25.0000
British American Tobacco Kenya Ltd Ord 10.00,11-Mar-19,580.0000
Safaricom Ltd Ord 0.05,11-Mar-19,26.9000
Nairobi Securities Exchange,11-Mar-19,14.0500
Safaricom Ltd Ord 0.05,12-Mar-19,26.9000
British American Tobacco Kenya Ltd Ord 10.00,12-Mar-19,580.0000
Nairobi Securities Exchange,12-Mar-19,14.1500
Car and General (K) Ltd Ord 5.00,12-Mar-19,24.7500
Nairobi Securities Exchange,13-Mar-19,14.0000
British American Tobacco Kenya Ltd Ord 10.00,13-Mar-19,580.0000
Safaricom Ltd Ord 0.05,13-Mar-19,26.7500
Car and General (K) Ltd Ord 5.00,13-Mar-19,25.0000
Car and General (K) Ltd Ord 5.00,14-Mar-19,24.9500
Nairobi Securities Exchange,14-Mar-19,14.0500
British American Tobacco Kenya Ltd Ord 10.00,14-Mar-19,580.0000
Safaricom Ltd Ord 0.05,14-Mar-19,27.0000
Nairobi Securities Exchange,15-Mar-19,14.0000
British American Tobacco Kenya Ltd Ord 10.00,15-Mar-19,580.0000
Car and General (K) Ltd Ord 5.00,15-Mar-19,24.9500
Safaricom Ltd Ord 0.05,15-Mar-19,27.7500
Safaricom Ltd Ord 0.05,18-Mar-19,28.5000
Car and General (K) Ltd Ord 5.00,18-Mar-19,24.9500
Nairobi Securities Exchange,18-Mar-19,13.9500
British American Tobacco Kenya Ltd Ord 10.00,18-Mar-19,558.0000
Car and General (K) Ltd Ord 5.00,19-Mar-19,25.0000
Safaricom Ltd Ord 0.05,19-Mar-19,28.5000
Nairobi Securities Exchange,19-Mar-19,13.8500
British American Tobacco Kenya Ltd Ord 10.00,19-Mar-19,546.0000
Nairobi Securities Exchange,20-Mar-19,13.7000
Safaricom Ltd Ord 0.05,20-Mar-19,28.0000
Car and General (K) Ltd Ord 5.00,20-Mar-19,25.0000
British American Tobacco Kenya Ltd Ord 10.00,20-Mar-19,535.0000
British American Tobacco Kenya Ltd Ord 10.00,21-Mar-19,550.0000
Nairobi Securities Exchange,21-Mar-19,13.7000
Car and General (K) Ltd Ord 5.00,21-Mar-19,24.9500
Safaricom Ltd Ord 0.05,21-Mar-19,28.5500
Nairobi Securities Exchange,22-Mar-19,13.7500
Car and General (K) Ltd Ord 5.00,22-Mar-19,24.0000
Safaricom Ltd Ord 0.05,22-Mar-19,28.6500
British American Tobacco Kenya Ltd Ord 10.00,22-Mar-19,550.0000
Safaricom Ltd Ord 0.05,25-Mar-19,27.9500
Nairobi Securities Exchange,25-Mar-19,13.4000
Car and General (K) Ltd Ord 5.00,25-Mar-19,24.0000
British American Tobacco Kenya Ltd Ord 10.00,25-Mar-19,550.0000
Safaricom Ltd Ord 0.05,26-Mar-19,27.6000
Nairobi Securities Exchange,26-Mar-19,13.8000
British American Tobacco Kenya Ltd Ord 10.00,26-Mar-19,538.0000
Car and General (K) Ltd Ord 5.00,26-Mar-19,24.0000
British American Tobacco Kenya Ltd Ord 10.00,27-Mar-19,545.0000
Car and General (K) Ltd Ord 5.00,27-Mar-19,22.5000
Nairobi Securities Exchange,27-Mar-19,13.9500
Safaricom Ltd Ord 0.05,27-Mar-19,27.6000
Safaricom Ltd Ord 0.05,28-Mar-19,27.2500
Car and General (K) Ltd Ord 5.00,28-Mar-19,22.5000
Nairobi Securities Exchange,28-Mar-19,13.5000
British American Tobacco Kenya Ltd Ord 10.00,28-Mar-19,545.0000
Car and General (K) Ltd Ord 5.00,29-Mar-19,22.5000
Nairobi Securities Exchange,29-Mar-19,13.7500
British American Tobacco Kenya Ltd Ord 10.00,29-Mar-19,544.0000
Safaricom Ltd Ord 0.05,29-Mar-19,27.5500
Car and General (K) Ltd Ord 5.00,01-Apr-19,22.5000
Safaricom Ltd Ord 0.05,01-Apr-19,27.9000
Nairobi Securities Exchange,01-Apr-19,13.6000
British American Tobacco Kenya Ltd Ord 10.00,01-Apr-19,544.0000
Car and General (K) Ltd Ord 5.00,02-Apr-19,22.5000
Nairobi Securities Exchange,02-Apr-19,13.6000
British American Tobacco Kenya Ltd Ord 10.00,02-Apr-19,538.0000
Safaricom Ltd Ord 0.05,02-Apr-19,28.1000
Nairobi Securities Exchange,03-Apr-19,13.8500
Safaricom Ltd Ord 0.05,03-Apr-19,28.1000
British American Tobacco Kenya Ltd Ord 10.00,03-Apr-19,550.0000
Car and General (K) Ltd Ord 5.00,03-Apr-19,22.9500
British American Tobacco Kenya Ltd Ord 10.00,04-Apr-19,550.0000
Safaricom Ltd Ord 0.05,04-Apr-19,28.0500
Nairobi Securities Exchange,04-Apr-19,13.9000
Car and General (K) Ltd Ord 5.00,04-Apr-19,22.9500
Car and General (K) Ltd Ord 5.00,05-Apr-19,22.5500
Safaricom Ltd Ord 0.05,05-Apr-19,28.0000
British American Tobacco Kenya Ltd Ord 10.00,05-Apr-19,550.0000
Nairobi Securities Exchange,05-Apr-19,13.7000
British American Tobacco Kenya Ltd Ord 10.00,08-Apr-19,550.0000
Safaricom Ltd Ord 0.05,08-Apr-19,28.0000
Nairobi Securities Exchange,08-Apr-19,13.8000
Car and General (K) Ltd Ord 5.00,08-Apr-19,22.5500
Nairobi Securities Exchange,09-Apr-19,13.5000
